SalePrice,YearBuilt,Size,Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_elevators,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall)
353627.5,1993,644,13,523,536,5,20,8,20,6,2,0,1
489510,1993,914,24,523,536,5,20,8,20,6,2,0,1
605749.2,2006,814,15,111,184,10,15,3,0,2,1,1,1
1499643.3,2007,1483,26,7,605,5,5,2,5,4,1,2,1
343804,1993,644,3,523,536,5,20,8,20,6,2,0,1
127698.1,1992,355,2,200,0,10,15,3,10,7,1,1,1
278317.7,1997,644,11,82,56,10,20,1,4,7,1,2,1
335615.9,1997,914,1,82,56,10,20,1,4,7,1,2,1
1457078.5,2007,1483,25,7,605,5,5,2,5,4,1,2,1
1457078.5,2007,1483,21,7,605,5,5,2,5,4,1,2,1
221670.7,1986,508,11,100,18,5,10,1,2,5,1,2,1
825129.6,2007,1103,18,554,524,5,5,3,10,2,2,2,2
605749.2,2008,829,2,197,475,10,5,6,14,3,1,1,1
419113.8,2005,572,8,67,798,5,10,8,0,5,2,0,1
311059,1993,644,1,523,536,5,20,8,20,6,2,0,1
589380.4,2006,903,12,123,181,10,5,3,11,3,1,1,1
622121.7,1986,1131,7,713,0,5,15,7,27,5,1,1,0
661415.7,2009,914,15,25,203,5,120,1,5,2,1,0,0
1371945.2,2007,1483,10,7,605,5,5,2,5,4,1,2,1
500972.6,1993,914,19,523,536,5,20,8,20,6,2,0,1
638494.2,2005,914,11,67,798,5,10,8,0,5,2,0,1
687608,2005,1184,3,67,798,5,10,8,0,5,2,0,1
595925.7,1986,1131,8,713,0,5,15,7,27,5,1,1,0
1601149.1,2007,1629,11,7,605,5,5,2,5,4,1,2,1
884070.6,2006,1149,16,249,536,5,5,6,11,1,1,0,1
720353,2007,914,13,554,524,5,5,3,10,2,2,2,2
455129.6,1992,914,7,142,79,10,20,3,8,5,1,1,1
425662.8,2005,572,4,67,798,5,10,8,0,5,2,0,1
532078.5,2006,636,3,111,184,10,15,3,0,2,1,1,1
630306.1,2006,814,7,111,184,10,15,3,0,2,1,1,1
257035.3,1992,576,13,200,0,10,15,3,10,7,1,1,1
834953.1,2007,868,19,0,1270,5,5,7,16,3,1,2,1
247211.8,1992,576,11,200,0,10,15,3,10,7,1,1,1
494423.6,1993,914,18,523,536,5,20,8,20,6,2,0,1
612298.2,2005,914,4,67,798,5,10,8,0,5,2,0,1
217741.3,1997,430,2,82,56,10,20,1,4,7,1,2,1
1136192.3,2006,2056,8,249,536,5,5,6,11,1,1,0,1
605749.2,2006,903,3,123,181,10,5,3,11,3,1,1,1
214466.8,1997,430,5,82,56,10,20,1,4,7,1,2,1
278317.7,1997,644,5,82,56,10,20,1,4,7,1,2,1
638494.2,2006,811,6,111,184,10,15,3,0,2,1,1,1
1401415.7,2006,2056,13,249,536,5,5,6,11,1,1,0,1
360176.5,1992,914,18,142,79,10,20,3,8,5,1,1,1
343804,1992,644,14,142,79,10,20,3,8,5,1,1,1
381458.9,1992,644,19,142,79,10,20,3,8,5,1,1,1
949556.9,2007,1419,21,554,524,5,5,3,10,2,2,2,2
661415.7,1986,1131,9,713,0,5,15,7,27,5,1,1,0
808760.8,2007,914,24,554,524,5,5,3,10,2,2,2,2
432211.8,1993,644,4,523,536,5,20,8,20,6,2,0,1
733451,2008,829,17,197,475,10,5,6,14,3,1,1,1
713804,2005,914,8,67,798,5,10,8,0,5,2,0,1
962651.2,2008,1167,12,197,475,10,5,6,14,3,1,1,1
442035.3,1997,914,15,82,56,10,20,1,4,7,1,2,1
746545.3,2006,910,4,111,184,10,15,3,0,2,1,1,1
1552035.3,2007,1629,9,7,605,5,5,2,5,4,1,2,1
523890.4,1993,914,15,523,536,5,20,8,20,6,2,0,1
802211.8,2006,910,9,111,184,10,15,3,0,2,1,1,1
720353,2006,818,3,249,536,5,5,6,11,1,1,0,1
687608,2006,903,11,123,181,10,5,3,11,3,1,1,1
720353,2007,868,12,0,1270,5,5,7,16,3,1,2,1
1417784.5,2007,1483,13,7,605,5,5,2,5,4,1,2,1
311059,1992,576,13,200,0,10,15,3,10,7,1,1,1
491149.1,1986,914,12,713,0,5,15,7,27,5,1,1,0
802211.8,1986,1377,8,713,0,5,15,7,27,5,1,1,0
654866.7,1986,1131,6,713,0,5,15,7,27,5,1,1,0
687608,2006,903,11,123,181,10,5,3,11,3,1,1,1
700706,2009,910,20,25,203,5,120,1,5,2,1,0,0
487874.6,1992,1448,1,142,79,10,20,3,8,5,1,1,1
435486.3,1993,644,17,523,536,5,20,8,20,6,2,0,1
599200.2,1993,914,18,523,536,5,20,8,20,6,2,0,1
728537.4,2008,914,1,197,475,10,5,6,14,3,1,1,1
815306.1,2007,1103,13,554,524,5,5,3,10,2,2,2,2
753094.3,2005,914,9,67,798,5,10,8,0,5,2,0,1
458404.1,1993,914,23,523,536,5,20,8,20,6,2,0,1
828404.1,2007,1103,5,554,524,5,5,3,10,2,2,2,2
631945.2,2005,743,16,67,798,5,10,8,0,5,2,0,1
586105.9,1993,914,15,523,536,5,20,8,20,6,2,0,1
458404.1,1993,644,19,523,536,5,20,8,20,6,2,0,1
484600.1,2005,572,20,67,798,5,10,8,0,5,2,0,1
622121.7,1993,914,23,523,536,5,20,8,20,6,2,0,1
184015.8,1992,355,11,200,0,10,15,3,10,7,1,1,1
674510,2006,814,6,111,184,10,15,3,0,2,1,1,1
831678.6,1993,1288,18,523,536,5,20,8,20,6,2,0,1
586105.9,1993,914,14,523,536,5,20,8,20,6,2,0,1
517345.1,1992,914,13,142,79,10,20,3,8,5,1,1,1
437121.7,1993,644,4,523,536,5,20,8,20,6,2,0,1
631945.2,2005,743,11,67,798,5,10,8,0,5,2,0,1
677784.5,2005,914,6,67,798,5,10,8,0,5,2,0,1
720353,2006,903,11,123,181,10,5,3,11,3,1,1,1
458404.1,1993,644,11,523,536,5,20,8,20,6,2,0,1
740000,2008,829,2,197,475,10,5,6,14,3,1,1,1
769466.8,2006,910,5,111,184,10,15,3,0,2,1,1,1
1398141.2,2007,1519,27,0,1270,5,5,7,16,3,1,2,1
356902,1992,640,7,200,0,10,15,3,10,7,1,1,1
278317.7,1992,640,15,200,0,10,15,3,10,7,1,1,1
802211.8,2008,829,17,197,475,10,5,6,14,3,1,1,1
975749.2,2007,868,21,0,1270,5,5,7,16,3,1,2,1
370000,1997,644,14,82,56,10,20,1,4,7,1,2,1
867698.1,2006,910,20,111,184,10,15,3,0,2,1,1,1
851325.6,2008,914,23,197,475,10,5,6,14,3,1,1,1
710529.5,2007,868,3,0,1270,5,5,7,16,3,1,2,1
1457078.5,2007,1483,23,7,605,5,5,2,5,4,1,2,1
797298.2,2008,829,19,197,475,10,5,6,14,3,1,1,1
792388.3,2008,829,23,197,475,10,5,6,14,3,1,1,1
1015043.2,2007,1366,6,554,524,5,5,3,10,2,2,2,2
703980.5,2006,811,2,111,184,10,15,3,0,2,1,1,1
756368.8,2006,818,20,249,536,5,5,6,11,1,1,0,1
900439.4,2008,914,24,197,475,10,5,6,14,3,1,1,1
486235.5,1993,644,21,523,536,5,20,8,20,6,2,0,1
864423.6,2008,914,11,197,475,10,5,6,14,3,1,1,1
844776.6,2007,1103,29,554,524,5,5,3,10,2,2,2,2
438760.8,1992,644,4,142,79,10,20,3,8,5,1,1,1
798937.3,2006,903,15,123,181,10,5,3,11,3,1,1,1
906988.4,2006,1192,14,123,181,10,5,3,11,3,1,1,1
766192.3,2006,818,8,249,536,5,5,6,11,1,1,0,1
681059,2005,743,6,67,798,5,10,8,0,5,2,0,1
507521.6,1993,644,10,523,536,5,20,8,20,6,2,0,1
818580.6,2007,868,11,0,1270,5,5,7,16,3,1,2,1
730176.5,1986,1131,8,713,0,5,15,7,27,5,1,1,0
605749.2,1993,914,15,523,536,5,20,8,20,6,2,0,1
569733.4,2005,572,14,67,798,5,10,8,0,5,2,0,1
222651.2,1997,644,11,82,56,10,20,1,4,7,1,2,1
1152564.8,2006,1743,9,249,536,5,5,6,11,1,1,0,1
769466.8,2006,818,12,249,536,5,5,6,11,1,1,0,1
512431.5,1992,914,2,142,79,10,20,3,8,5,1,1,1
818580.6,1986,1377,10,713,0,5,15,7,27,5,1,1,0
720353,2006,903,7,123,181,10,5,3,11,3,1,1,1
940255.1,2013,910,7,8,930,5,5,7,14,5,1,1,1
974376.5,2013,910,20,8,930,5,5,7,14,5,1,1,1
474776.6,2003,907,7,82,56,10,20,1,4,7,1,2,1
1113270.8,2006,1437,17,249,536,5,5,6,11,1,1,0,1
376545.3,1992,576,4,200,0,10,15,3,10,7,1,1,1
229200.2,1980,736,4,90,1174,5,5,10,20,7,1,0,1
958329.6,2013,910,14,8,930,5,5,7,14,5,1,1,1
940255.1,2013,910,6,8,930,5,5,7,14,5,1,1,1
925651.2,2013,910,4,8,930,5,5,7,14,5,1,1,1
638494.2,1993,914,16,523,536,5,20,8,20,6,2,0,1
766192.3,2005,914,22,67,798,5,10,8,0,5,2,0,1
320882.5,1997,558,15,82,56,10,20,1,4,7,1,2,1
935411.8,2013,907,12,8,930,5,5,7,14,5,1,1,1
638494.2,2006,910,15,111,184,10,15,3,0,2,1,1,1
949556.9,2007,1103,24,554,524,5,5,3,10,2,2,2,2
753094.3,2005,914,3,67,798,5,10,8,0,5,2,0,1
553360.9,1993,644,9,523,536,5,20,8,20,6,2,0,1
622121.7,1993,914,10,523,536,5,20,8,20,6,2,0,1
581192.3,2005,572,21,67,798,5,10,8,0,5,2,0,1
933184.4,2008,914,19,197,475,10,5,6,14,3,1,1,1
720353,1986,1313,7,713,0,5,15,7,27,5,1,1,0
1113270.8,2006,1743,14,249,536,5,5,6,11,1,1,0,1
916811.9,2008,914,17,197,475,10,5,6,14,3,1,1,1
933184.4,2007,1103,26,554,524,5,5,3,10,2,2,2,2
825129.6,2008,829,10,197,475,10,5,6,14,3,1,1,1
900439.4,2007,1103,16,554,524,5,5,3,10,2,2,2,2
1291725.5,2007,1643,25,0,1270,5,5,7,16,3,1,2,1
861149.1,2006,910,13,111,184,10,15,3,0,2,1,1,1
586105.9,2005,572,7,67,798,5,10,8,0,5,2,0,1
880796.1,2008,914,11,197,475,10,5,6,14,3,1,1,1
671235.5,2005,743,16,67,798,5,10,8,0,5,2,0,1
925000,2009,1160,4,25,203,5,120,1,5,2,1,0,0
351333.5,1985,676,6,80,76,5,10,1,2,5,1,2,1
916811.9,2006,914,23,249,536,5,5,6,11,1,1,0,1
943007.9,2007,1103,7,554,524,5,5,3,10,2,2,2,2
906988.4,2005,1184,6,67,798,5,10,8,0,5,2,0,1
442035.3,1992,644,11,142,79,10,20,3,8,5,1,1,1
753094.3,2006,903,4,123,181,10,5,3,11,3,1,1,1
795662.8,1986,1377,4,713,0,5,15,7,27,5,1,1,0
884070.6,2009,1160,6,25,203,5,120,1,5,2,1,0,0
1162388.3,2007,1483,23,7,605,5,5,2,5,4,1,2,1
982298.2,2006,1412,2,249,536,5,5,6,11,1,1,0,1
392917.8,1992,576,12,200,0,10,15,3,10,7,1,1,1
946282.4,2008,914,11,197,475,10,5,6,14,3,1,1,1
965925.7,1993,1761,15,523,536,5,20,8,20,6,2,0,1
561545.3,1993,644,10,523,536,5,20,8,20,6,2,0,1
1031415.7,2007,868,16,0,1270,5,5,7,16,3,1,2,1
566458.9,2005,572,1,67,798,5,10,8,0,5,2,0,1
926635.4,2008,914,15,197,475,10,5,6,14,3,1,1,1
509157,1978,903,1,87,0,5,5,2,4,3,2,1,1
1309733.4,2007,1690,19,7,605,5,5,2,5,4,1,2,1
1090353,2007,1334,5,7,605,5,5,2,5,4,1,2,1
1139466.8,2006,1437,19,249,536,5,5,6,11,1,1,0,1
720353,1993,914,3,523,536,5,20,8,20,6,2,0,1
540262.9,1993,644,20,523,536,5,20,8,20,6,2,0,1
834953.1,1986,1313,4,713,0,5,15,7,27,5,1,1,0
874247.1,1993,1451,16,523,536,5,20,8,20,6,2,0,1
916811.9,2007,1103,10,554,524,5,5,3,10,2,2,2,2
893890.4,1993,1761,20,523,536,5,20,8,20,6,2,0,1
769466.8,1986,1131,10,713,0,5,15,7,27,5,1,1,0
700706,1986,1131,1,713,0,5,15,7,27,5,1,1,0
487874.6,1978,779,11,87,0,5,5,2,4,3,2,1,1
1159113.8,2007,1444,24,7,605,5,5,2,5,4,1,2,1
939733.4,2006,914,12,249,536,5,5,6,11,1,1,0,1
569733.4,2005,572,5,67,798,5,10,8,0,5,2,0,1
777651.2,1986,1131,8,713,0,5,15,7,27,5,1,1,0
905353,1986,1377,7,713,0,5,15,7,27,5,1,1,0
386368.8,1997,558,3,82,56,10,20,1,4,7,1,2,1
1047784.5,2013,907,9,8,930,5,5,7,14,5,1,1,1
839866.7,2006,910,7,111,184,10,15,3,0,2,1,1,1
949556.9,1993,1761,8,523,536,5,20,8,20,6,2,0,1
916811.9,1986,1377,3,713,0,5,15,7,27,5,1,1,0
491149.1,1997,644,11,82,56,10,20,1,4,7,1,2,1
884070.6,2006,910,9,111,184,10,15,3,0,2,1,1,1
599200.2,2005,572,8,67,798,5,10,8,0,5,2,0,1
1155839.3,2007,1394,24,554,524,5,5,3,10,2,2,2,2
1256198.1,2007,1643,22,0,1270,5,5,7,16,3,1,2,1
1047784.5,2007,1483,5,7,605,5,5,2,5,4,1,2,1
635219.7,1992,914,15,142,79,10,20,3,8,5,1,1,1
618847.2,1978,903,6,87,0,5,5,2,4,3,2,1,1
838227.6,2006,811,5,111,184,10,15,3,0,2,1,1,1
861149.1,2006,818,14,249,536,5,5,6,11,1,1,0,1
276678.6,2014,213,14,11,108,5,10,1,0,3,1,2,1
1113270.8,1986,2092,8,713,0,5,15,7,27,5,1,1,0
1358847.2,2007,1643,18,0,1270,5,5,7,16,3,1,2,1
1342474.7,2007,1643,25,0,1270,5,5,7,16,3,1,2,1
1339200.2,2007,1387,40,0,1270,5,5,7,16,3,1,2,1
1363072.6,2007,1928,12,0,1270,5,5,7,16,3,1,2,1
222651.2,2014,135,13,0,218,5,10,1,0,4,1,0,0
1113270.8,2007,1483,19,7,605,5,5,2,5,4,1,2,1
278317.7,1986,451,10,100,18,5,10,1,2,5,1,2,1
382439.4,1992,576,11,200,0,10,15,3,10,7,1,1,1
1285861,2007,1928,6,0,1270,5,5,7,16,3,1,2,1
1440706,2007,1643,26,0,1270,5,5,7,16,3,1,2,1
1093627.5,2013,910,18,8,930,5,5,7,14,5,1,1,1
1129643.3,2007,1394,5,554,524,5,5,3,10,2,2,2,2
880796.1,1986,1131,7,713,0,5,15,7,27,5,1,1,0
573007.9,1993,644,18,523,536,5,20,8,20,6,2,0,1
556635.4,1992,644,7,142,79,10,20,3,8,5,1,1,1
867698.1,2005,914,13,67,798,5,10,8,0,5,2,0,1
1041235.5,2007,1103,22,554,524,5,5,3,10,2,2,2,2
933184.4,2008,829,5,197,475,10,5,6,14,3,1,1,1
818580.6,1993,914,9,523,536,5,20,8,20,6,2,0,1
422388.3,1992,576,13,200,0,10,15,3,10,7,1,1,1
1270439.4,2007,1334,13,7,605,5,5,2,5,4,1,2,1
1276988.4,2006,1743,8,249,536,5,5,6,11,1,1,0,1
1352298.2,2006,1743,23,249,536,5,5,6,11,1,1,0,1
1043596.1,1993,2337,6,523,536,5,20,8,20,6,2,0,1
622121.7,1993,644,21,523,536,5,20,8,20,6,2,0,1
681059,2005,572,19,67,798,5,10,8,0,5,2,0,1
913537.4,2005,914,18,67,798,5,10,8,0,5,2,0,1
884070.6,2006,903,1,123,181,10,5,3,11,3,1,1,1
1669909.9,2007,1690,26,7,605,5,5,2,5,4,1,2,1
1375219.7,2006,1412,28,249,536,5,5,6,11,1,1,0,1
1509466.8,2006,2056,18,249,536,5,5,6,11,1,1,0,1
435486.3,1992,576,1,200,0,10,15,3,10,7,1,1,1
270129.6,1992,355,6,200,0,10,15,3,10,7,1,1,1
818580.6,2005,743,18,67,798,5,10,8,0,5,2,0,1
1057608,2009,910,9,25,203,5,120,1,5,2,1,0,0
1044510,2006,914,4,249,536,5,5,6,11,1,1,0,1
995396.2,2008,914,1,197,475,10,5,6,14,3,1,1,1
1712474.7,2007,1643,32,0,1270,5,5,7,16,3,1,2,1
1162388.3,2013,907,8,8,930,5,5,7,14,5,1,1,1
1227874.6,2013,907,30,8,930,5,5,7,14,5,1,1,1
936458.9,2006,818,8,249,536,5,5,6,11,1,1,0,1
867698.1,2005,743,13,67,798,5,10,8,0,5,2,0,1
1106725.5,2007,1103,6,554,524,5,5,3,10,2,2,2,2
1276988.4,2013,910,20,8,930,5,5,7,14,5,1,1,1
1096902,2006,910,15,111,184,10,15,3,0,2,1,1,1
998670.7,2006,814,20,111,184,10,15,3,0,2,1,1,1
586105.9,1992,644,4,142,79,10,20,3,8,5,1,1,1
962651.2,2005,914,21,67,798,5,10,8,0,5,2,0,1
